time,temperature,humidity,light
2026-06-12 16:41:30,23.34,66.8,379.17
2026-06-12 16:41:35,23.3,66.67,390.83
2026-06-12 16:41:40,23.29,66.6,393.33
2026-06-12 16:41:45,23.27,66.62,398.33
2026-06-12 16:41:50,23.27,66.61,406.67
2026-06-12 16:41:55,23.25,66.64,403.33
2026-06-12 16:42:00,23.29,66.88,405.83
2026-06-12 16:42:05,23.25,67.02,384.17
2026-06-12 16:42:10,23.24,67.16,385.0
2026-06-12 16:42:15,23.21,67.28,380.83
2026-06-12 16:42:20,23.2,67.17,373.33
2026-06-12 16:43:25,23.38,67.35,325.0
2026-06-12 16:43:30,23.36,67.28,325.0
2026-06-12 16:43:35,23.34,67.23,324.17
2026-06-12 16:43:40,23.33,67.2,324.17
2026-06-12 16:43:45,23.3,67.12,324.17
2026-06-12 16:43:50,23.28,67.15,324.17
2026-06-12 16:43:55,23.25,67.18,324.17
2026-06-12 16:44:00,23.24,66.84,324.17
2026-06-12 16:44:05,23.23,66.76,324.17
2026-06-12 16:44:10,23.2,66.71,329.17
2026-06-12 16:44:15,23.18,66.69,378.33
2026-06-12 16:44:20,23.18,66.61,383.33
2026-06-12 16:44:26,23.16,66.47,390.0
2026-06-12 16:45:36,23.39,67.28,378.33
2026-06-12 16:45:41,23.38,67.33,360.83
2026-06-12 16:45:46,23.38,67.31,362.5
2026-06-12 16:45:51,23.35,67.24,365.83
2026-06-12 16:45:56,23.3,67.09,368.33
2026-06-12 16:46:01,23.29,67.01,373.33
2026-06-12 16:46:06,23.24,66.86,390.83
2026-06-12 16:46:11,23.25,66.75,389.17
2026-06-12 16:46:16,23.23,66.53,352.5
2026-06-12 16:46:21,23.21,66.3,382.5
2026-06-12 16:46:26,23.21,66.23,320.0
